genes,stability
ADAL,-0.0039199397902138725
ADAM10,-0.018983985784087592
ADAM11,0.13378704664700564
ADAM12,0.027161029936176695
ADAM15,0.13828482515610918
ADAM17,0.15122691049927345
ADAM19,-0.014890451837393568
ADAM2,0.07667593237404983
ADAM20,0.12915102237469275
ADAM21,0.03884797408508584
ADAM21P1,0.012590986289024563
ADAM22,0.6409419720047979
ADAM23,0.222967784334384
ADAM28,0.4582731820135329
ADAM29,-0.01926713210223064
ADAM30,0.04542337566521174
ADAM32,0.20479394012492103
ADAM33,0.007374067786427905
ADAM6,-0.012668197753134968
ADAM8,0.2946416163913851
ADAM9,0.384783632944704
ADAMTS1,0.037019262573381846
ADAMTS10,0.018942892757639676
ADAMTS12,0.0019482513734725316
ADAMTS13,0.4069985320182619
ADAMTS14,0.07595406000344108
ADAMTS15,0.11282985736676542
ADAMTS16,0.11424055694881878
ADAMTS17,0.1585521282815872
ADAMTS18,0.08035108355768168
ADAMTS19,0.5777430565795861
ADAMTS2,0.21540653101487178
ADAMTS20,-0.0020553821087887668
ADAMTS3,0.4798306193258839
ADAMTS4,0.20057731641702745
ADAMTS5,0.29505008829946633
ADAMTS6,0.04929310579168552
ADAMTS7,0.0011980316866462817
ADAMTS8,0.37060831487281115
ADAMTS9,0.6171298616937955
ADAMTSL1,0.3701659095785911
ADAMTSL2,0.3540026671429514
ADAMTSL3,0.25120520360006704
ADAMTSL4,-0.030999872091913076
ADAMTSL5,0.004121092599810216
ADAP1,0.06390011772653012
ADAP2,0.47418812905810276
ADAR,0.14257920766694737
ADARB1,0.01621375552470704
ADARB2,0.022520182138290355
ADAT1,0.028034772005374988
